name,institution,main panel,sub-panel,role,name and institution
Professor Aziz Sheikh,University of Edinburgh,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Aziz Sheikh University of Edinburgh
Professor Brian Walker,Newcastle University,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Brian Walker Newcastle University
Professor Chris Griffiths,University of Manchester,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Chris Griffiths University of Manchester
Professor Cyrus Cooper*,University of Southampton,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Cyrus Cooper* University of Southampton
Professor David Adams,University of Birmingham,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor David Adams University of Birmingham
Professor David Jones,Newcastle University,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor David Jones Newcastle University
Professor David Menon,University of Cambridge,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor David Menon University of Cambridge
Professor Diana Eccles,University of Southampton,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Diana Eccles University of Southampton
Professor Fiona Gilbert,University of Cambridge,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Fiona Gilbert University of Cambridge
Professor Frank Sullivan,University of St Andrews,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Frank Sullivan University of St Andrews
Professor Gavin Screaton,University of Oxford,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Gavin Screaton University of Oxford
Professor Gerard Graham,University of Glasgow,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Gerard Graham University of Glasgow
Professor Helen Cross,University College London ,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Helen Cross University College London 
Professor Hugh Watkins,University of Oxford,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Hugh Watkins University of Oxford
Professor Ian Hall,University of Nottingham,Main Panel A,Sub-panel 1: Clinical Medicine,Deputy Chair,Professor Ian Hall University of Nottingham
Professor Jane Norman,University of Edinburgh,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Jane Norman University of Edinburgh
Professor Jonathan Weber,Imperial College London,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Jonathan Weber Imperial College London
Professor Manuel Salto-Tellez,Queen's University Belfast,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Manuel Salto-Tellez Queen's University Belfast
Professor Maria Zambon,Public Health England,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Maria Zambon Public Health England
Professor Mark Caulfield,"Queen Mary, University of London",Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,"Professor Mark Caulfield Queen Mary, University of London"
Professor Mark Hull,University of Leeds,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Mark Hull University of Leeds
Professor Metin Avkiran,British Heart Foundation,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Metin Avkiran British Heart Foundation
Professor Moira Whyte,University of Edinburgh,Main Panel A,Sub-panel 1: Clinical Medicine,Chair,Professor Moira Whyte University of Edinburgh
Professor Munir Pirmohamed,University of Liverpool,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Munir Pirmohamed University of Liverpool
Professor Paul Morgan,Cardiff University,Main Panel A,Sub-panel 1: Clinical Medicine,Members,Professor Paul Morgan Cardiff University
Professor Paul Moss,University of Birmingham,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Paul Moss University of Birmingham
Professor Stephen Renshaw,University of Sheffield,Main Panel A,Sub-panel 1: Clinical Medicine,Additional assessment phase members,Professor Stephen Renshaw University of Sheffield
Ms Jo Lakey,Brunel University London,Main Panel A,Sub-panel 2 Secretariat,Members,Ms Jo Lakey Brunel University London
